Model,Test Accuracy,F1-macro,Train Time (s),Predict Time (s)
KNN,0.9717,0.971528765919764,0.03525996208190918,7.62394380569458
Naive Bayes,0.814,0.8123486694203106,0.29108643531799316,0.337174654006958
CNN,0.9918,0.9917328656075485,150.79,1.3908360004425049
